feature,importance_mean,importance_std
Business_Unit_Pune,0.013527745882402322,0.008175738691615734
Business_Unit_Mumbai HO,0.010168381208467752,0.0030306863481190964
Invoice_Source_Oracle,0.00929924038010912,0.007690960175045455
Exception_Number_E4,0.008602865322145836,0.006143373968068033
Exception_Number_E9,0.006728230293198449,0.004205023942964701
Invoice_Date_Diff_Bucket_Same_Day,0.006728230293198449,0.004205023942964701
Business_Unit_Delhi HO,0.005010471406337152,0.00757501649402585
Invoice_Date_Diff_Days,0.0049450566981882205,0.009945205255323396
Invoice_Amt_Diff_Ratio,0.0047681203009651675,0.002485186483663591
Invoice_Type_Tax Invoice,0.004765347492031144,0.0031201716817956773
Invoice_Date_Diff_Bucket_Above_2_Days,0.0033776150861586167,0.0026008346931557305
Invoice_Amt_Diff,0.002484496934434649,0.0013906914384697836
Invoice_Source_Manual,0.0020186883026136527,0.0033779939650153855
Invoice_Type_Debit Note,0.0011279237616588528,0.0017143896259661571
Invoice_Amt_Bucket_Medium,0.0011114694898670702,0.003123772481530895
Business_Unit_Hyderabad,0.0010896920910156704,0.005282867776073258
Invoice_Amt_Bucket_Very_High,0.0010699782754995779,0.0007874270937112548
Invoice_Source_SAP,0.0008504769216036795,0.0035358967530421063
Exception_Number_E2,0.00023562845304748726,0.00086542052736282
Invoice_Amt_Bucket_Low,0.0001321200184733917,0.0006448139791563515
Invoice_Amt_Bucket_High,-5.509532639622894e-05,6.758312114185339e-05
Invoice_Amt_Bucket_Code,-0.00019197296863189827,0.0005618548779340939
Business_Unit_Chennai,-0.000403719362897223,0.0011883046445540274
